,days_since_first_payment,average_total_net_revenue
0,0.0,5.907333333333334
1,1.0,20.2825
2,2.0,102.63654333333331
3,3.0,1035.9683149999998
4,4.0,227.90981500000004
5,5.0,663.9265350000001
6,6.0,1108.98176
7,7.0,1627.1635933333328
8,8.0,1749.673840000001
9,9.0,2274.3889999999997
10,10.0,3425.296050000001
11,11.0,4596.930770000002
12,12.0,4868.228683333334
13,13.0,4081.192789999999
14,14.0,4982.815096666668
15,15.0,5422.842556666666
16,16.0,5976.661346666664
17,17.0,6584.793063333334
18,18.0,8167.303620000002
19,19.0,9167.822569999998
20,20.0,13280.510053333333
21,21.0,13653.16246
22,22.0,16698.661176666672
23,23.0,16847.957336666666
24,24.0,16541.577989999994
25,25.0,17515.486090000002
26,26.0,18355.692066666667
27,27.0,22861.80521333333
28,28.0,21555.543336666666
29,29.0,24654.09398
30,30.0,26197.865633333335
31,31.0,26295.8832
32,32.0,23697.583903333336
33,33.0,27069.316090000008
34,34.0,36814.38420333333
35,35.0,35543.405303333326
36,36.0,41782.57866666667
37,37.0,38795.634093333334
38,38.0,42071.11943
39,39.0,40941.17004333334
40,40.0,40037.32300333333
41,41.0,44655.725196666666
42,42.0,56969.839060000006
43,43.0,54634.370656666666
44,44.0,56213.577046666665
45,45.0,55875.19902000001
46,46.0,55904.35745
47,47.0,52656.608730000014
48,48.0,58242.90469333334
49,49.0,64301.42003
50,50.0,65867.45485
51,51.0,62519.37945333332
52,52.0,58958.75113333332
53,53.0,60427.84871333335
54,54.0,62768.93697666668
55,55.0,63387.013419999996
56,56.0,72351.60345666665
57,57.0,75533.21150666669
58,58.0,76833.12220666665
59,59.0,74883.13660666668
60,60.0,76526.95229
