,#account_id,first_pay_time,disputes_d30,disputed_d30,disputable_payment,game_types,long_sessions_ps_score_180,long_sessions_ps_score_210,long_sessions_ps_score_240,monetary_consumption_score,user_withdrawed,fluctuating_wagers,payment_methods_score,payment_methods_sequence,payment_impulsiveness_score,nightly_play,days_played_score,increasing_tolerance,losses_of_winning_score,time_comsumption
2,10760016.0,2024-05-06 21:31:44.323,0,0.0,0.0,18,3,3,3,127.3197,1,0.0,1,"[""checkout_credit_api"",null]",6.738736386703903,1,8,0.7,0.004601226993865,287245.0
3,10665019.0,2024-04-10 01:16:30.928,0,0.0,0.0,2,0,0,0,18.74,0,0.01,1,"[""checkout_apple_pay""]",,1,1,0.0,0.25,157.0
11,10699535.0,2024-04-18 21:28:42.366,0,0.0,0.0,3,7,6,5,33.512,0,0.0,1,"[null,""checkout_apple_pay""]",3.854315183913455,1,6,0.4,0.0086206896551724,262242.0
13,10566006.0,2024-04-05 01:10:26.519,0,0.0,0.0,3,8,8,8,28.06,1,0.0,1,"[""checkout_apple_pay"",null]",8.375220594109745,1,17,0.0,0.0,411173.0
17,10651703.0,2024-05-05 22:27:05.893,0,0.0,0.0,23,3,3,3,14.000800000000002,0,0.0,1,"[null,""checkout_apple_pay""]",5.882660572677412,1,24,0.0,0.2307692307692307,184839.0
18,10584359.0,2024-04-06 12:48:13.549,0,0.0,0.0,12,4,4,4,18.54,0,0.0,1,"[""checkout_credit_api"",null]",3.513243312301124,1,8,0.8,0.5,380134.0
19,10670783.0,2024-04-11 05:19:34.239,0,0.0,0.0,20,6,6,6,37.48,0,,1,"[""checkout_apple_pay""]",0.0,1,5,,0.0,474237.0
24,10740079.0,2024-04-30 05:32:42.940,0,0.0,0.0,2,3,3,3,101.236,1,0.0,1,"[""checkout_apple_pay""]",16.324074528131757,1,3,0.0,0.1379310344827586,261722.0
25,10721763.0,2024-04-26 07:14:16.039,0,0.0,0.0,8,1,1,1,23.35,0,0.01,1,"[null,""checkout_credit_api""]",8.8719421962349,1,4,0.1,,127638.0
31,10768661.0,2024-05-10 21:56:53.082,0,0.0,0.0,5,3,3,3,40.5597,0,0.0,1,"[""checkout_apple_pay""]",15.416129911394757,1,6,0.0,,335077.0
33,10766128.0,2024-05-09 00:43:37.591,0,0.0,0.0,8,2,2,2,23.468,0,0.0,1,"[""checkout_apple_pay""]",10.074857418345928,1,3,0.0,0.0769230769230769,107864.0
39,10727873.0,2024-04-26 17:46:43.490,0,0.0,0.0,55,2,2,2,4.61,1,0.0,1,"[""checkout_apple_pay""]",,1,4,0.0,0.0,121187.0
42,10743803.0,2024-05-05 19:12:36.608,0,0.0,0.0,4,0,0,0,0.842,0,0.0,1,"[""checkout_apple_pay""]",,1,2,0.0,,48.0
46,10741140.0,2024-04-30 18:07:09.565,0,0.0,0.0,8,0,0,0,18.54,0,0.01,1,"[""checkout_apple_pay""]",2.7193197678831376,1,1,0.0,0.0,1131.0
47,10636509.0,2024-04-03 23:58:31.993,0,0.0,0.0,38,6,6,5,627.5300000000001,1,0.0,2,"[null,""checkout_apple_pay"",""paypal_wallet_slave""]",12.611903388422846,1,8,0.3,0.0176991150442477,195477.0
51,10705259.0,2024-04-20 08:59:34.943,0,0.0,0.0,11,4,4,4,2.726,0,0.0,1,"[""checkout_apple_pay""]",,1,6,0.0,0.0,269639.0
54,10645159.0,2024-04-05 22:21:29.963,0,0.0,0.0,11,4,4,4,2.726,0,0.0,1,"[""checkout_apple_pay""]",,1,4,0.0,0.0,314688.0
58,10743771.0,2024-05-02 14:31:20.176,0,0.0,0.0,5,1,1,1,35.296,0,0.0,1,"[""checkout_apple_pay""]",3.166577521552252,1,4,0.0,1.0,203262.0
65,10486078.0,2024-04-07 20:28:14.008,0,0.0,0.0,1,0,0,0,14.04,0,,1,"[""paypal_wallet_slave""]",,1,1,0.0,,
66,10720430.0,2024-04-24 06:41:03.790,0,0.0,0.0,12,1,1,1,4.61,0,0.0,1,"[""checkout_credit_api"",null]",3.259762261269984,1,3,0.4,0.0,125780.0
68,10716955.0,2024-04-23 12:17:37.711,0,0.0,0.0,12,3,3,3,9.32,0,0.0,1,"[""checkout_apple_pay""]",,1,4,0.0,0.0,215743.0
86,10662952.0,2024-04-09 17:55:11.739,0,0.0,0.0,6,1,1,1,9.32,0,0.0,1,"[""checkout_apple_pay""]",,1,3,0.0,0.0,72678.0
88,10106815.0,2024-05-08 05:12:35.073,0,0.0,0.0,7,1,1,1,26.718,0,0.01,1,"[""checkout_apple_pay""]",2.820761811993349,1,4,0.0,,166105.0
91,10634213.0,2024-04-23 04:54:46.191,0,0.0,0.0,9,3,3,2,14.772,1,0.0,1,"[""checkout_apple_pay""]",5.519616291011541,1,14,0.0,0.2222222222222222,142644.0
103,10081751.0,2024-05-04 00:21:12.215,0,0.0,0.0,3,0,0,0,0.842,0,0.0,1,"[""checkout_apple_pay""]",,1,3,0.0,,3350.0
105,10688263.0,2024-04-15 20:45:20.754,0,0.0,0.0,1,0,0,0,18.74,0,0.03,1,"[""checkout_apple_pay""]",,1,1,0.0,,
108,10766985.0,2024-05-09 09:13:30.659,0,0.0,0.0,9,2,2,2,18.74,0,0.02,1,"[""checkout_credit_api""]",,1,5,0.0,,62057.0
109,10740101.0,2024-05-01 00:38:12.824,0,0.0,0.0,24,6,6,5,34.354,0,0.0,1,"[""checkout_apple_pay""]",3.3702016556876835,1,7,0.0,0.0,376435.0
113,10759882.0,2024-05-07 02:49:15.314,0,0.0,0.0,4,6,6,5,564.9000000000001,0,0.0,1,"[""checkout_credit_api"",null]",94.15,1,6,0.1,0.1897810218978102,265563.0
118,10374839.0,2024-04-16 12:55:44.109,0,0.0,0.0,9,4,4,4,26.23,1,0.0,1,"[null,""paypal_wallet_slave""]",4.097249890678706,1,6,0.2,1.0,211818.0
120,10697213.0,2024-04-18 02:42:57.046,0,0.0,0.0,22,7,5,5,13.93,1,0.0,1,"[""checkout_apple_pay""]",3.3304729393886383,1,6,0.0,0.2352941176470588,275049.0
124,10698302.0,2024-04-18 12:57:19.871,0,0.0,0.0,2,1,1,1,37.48,0,0.0,1,"[""checkout_apple_pay""]",0.0,1,1,0.0,0.2222222222222222,1088.0
126,10711541.0,2024-04-21 23:23:55.432,0,0.0,0.0,12,2,2,2,4.51,0,0.0,1,"[""checkout_apple_pay""]",0.6660945878777278,1,3,0.0,0.0,338435.0
129,10740868.0,2024-04-30 16:09:40.604,0,0.0,0.0,10,5,5,5,18.64,0,0.0,1,"[""checkout_apple_pay""]",6.660945878777277,1,4,0.0,0.0,517117.0
132,10722810.0,2024-04-25 01:52:49.490,0,0.0,0.0,11,1,1,1,60.72999999999999,0,0.03,1,"[""checkout_apple_pay""]",6.792858602974155,1,3,0.0,0.0,78063.0
133,10688982.0,2024-05-01 01:16:24.341,0,0.0,0.0,5,1,1,1,0.842,0,0.01,1,"[""checkout_apple_pay""]",,1,16,0.0,,293164.0
135,10662745.0,2024-04-15 13:53:45.302,0,0.0,0.0,29,1,1,1,18.74,0,0.0,1,"[""checkout_apple_pay""]",,1,12,0.0,0.0,68128.0
138,10657437.0,2024-04-08 13:38:14.457,0,0.0,0.0,1,0,0,0,27.96,0,0.01,1,"[""checkout_apple_pay""]",0.0,1,1,0.0,,348.0
143,10681858.0,2024-04-14 04:12:52.917,0,0.0,0.0,4,0,0,0,1.784,0,0.0,1,"[""checkout_apple_pay""]",,1,1,0.0,,309.0
144,10665865.0,2024-04-10 03:30:44.509,0,0.0,0.0,1,0,0,0,14.03,0,0.0,1,"[""checkout_apple_pay""]",,1,1,0.0,,285.0
149,10769898.0,2024-05-10 07:34:29.846,0,0.0,0.0,33,1,1,1,37.616,0,0.0,1,"[""checkout_credit_api""]",5.472703201648463,1,6,0.0,0.0253164556962025,94740.0
153,10512611.0,2024-05-10 00:12:04.349,0,0.0,0.0,27,4,4,4,104.0353,1,0.0,1,"[""checkout_apple_pay"",null]",2.0467089738978506,1,9,0.0,0.1666666666666666,288404.0
156,10766503.0,2024-05-09 03:06:26.781,0,0.0,0.0,7,4,4,4,27.1006,0,0.01,1,"[""checkout_apple_pay""]",4.287483580532214,1,2,0.0,0.0,135740.0
158,10737724.0,2024-04-30 02:19:58.722,0,0.0,0.0,23,2,2,2,350.1985800000001,1,0.0,1,"[null,""checkout_apple_pay""]",11.396451104839388,1,8,0.1,0.2857142857142857,121298.0
160,10645368.0,2024-04-06 23:21:40.143,0,0.0,0.0,2,0,0,0,14.03,0,0.01,1,"[""checkout_apple_pay""]",,1,3,0.0,,611.0
161,10647657.0,2024-04-06 07:33:40.729,0,0.0,0.0,4,0,0,0,21.466,0,0.0,1,"[""checkout_apple_pay""]",11.323607993921373,1,1,0.0,0.3333333333333333,1371.0
164,10711573.0,2024-04-22 22:10:47.459,0,0.0,0.0,3,1,1,1,4.61,0,0.0,1,"[""checkout_apple_pay""]",,1,5,0.0,1.0,107562.0
165,10758247.0,2024-05-06 03:06:47.191,0,0.0,0.0,4,2,2,2,93.7,0,0.0,2,"[""checkout_apple_pay"",""checkout_credit_api""]",0.0,1,2,0.0,0.3902439024390244,81720.0
171,10635288.0,2024-04-04 19:50:08.024,0,0.0,0.0,4,2,2,2,9.32,0,0.0,1,"[null,""checkout_apple_pay""]",6.590235200658623,1,4,0.0,,189746.0
173,10712476.0,2024-04-22 02:30:06.611,0,0.0,0.0,1,0,0,0,4.61,0,0.02,1,"[""checkout_apple_pay""]",,1,1,0.0,,
185,10685629.0,2024-04-15 02:41:22.862,0,0.0,0.0,2,0,0,0,18.74,0,,1,"[null,""checkout_apple_pay""]",6.246666666666666,1,1,,,0.0
188,10695798.0,2024-04-21 15:51:25.733,0,0.0,0.0,4,1,1,1,1.784,0,0.03,1,"[null,""checkout_apple_pay""]",0.5149964401171462,1,4,6.3,,75.0
190,10665947.0,2024-04-10 03:35:35.515,0,0.0,0.0,3,0,0,0,1.784,0,0.0,1,"[""checkout_apple_pay""]",,1,1,0.0,,
192,10740193.0,2024-04-30 06:43:32.737,0,0.0,0.0,20,4,3,3,81.454,0,0.0,1,"[""checkout_credit_api""]",3.4993746869976627,1,4,4.5,0.25,291485.0
196,10660775.0,2024-04-09 03:41:46.216,0,0.0,0.0,2,0,0,0,1.784,0,0.01,1,"[""checkout_apple_pay""]",,1,1,0.0,,198.0
205,10714289.0,2024-04-24 15:37:58.841,0,0.0,0.0,17,5,5,5,3.52,0,0.0,1,"[""paypal_wallet_slave""]",,1,7,0.0,0.2857142857142857,480120.0
207,10688934.0,2024-04-16 00:29:49.593,0,0.0,0.0,6,1,1,1,14.03,0,0.0,1,"[""checkout_apple_pay""]",,1,3,0.0,0.5,71787.0
209,10653240.0,2024-04-08 02:23:26.080,0,0.0,0.0,18,2,2,2,58.346,1,0.0,1,"[""checkout_apple_pay"",null]",2.7198261283471266,1,8,2.7,0.1276595744680851,73602.0
212,10739095.0,2024-05-01 11:09:54.102,0,0.0,0.0,6,0,0,0,9.32,0,0.01,1,"[""checkout_apple_pay""]",,1,4,0.0,0.0078125,2706.0
218,10462488.0,2024-04-11 23:50:37.479,0,0.0,0.0,5,1,1,1,18.74,0,0.01,1,"[""checkout_apple_pay""]",,1,4,0.0,,410040.0
222,,2024-04-20 04:51:21.722,0,0.0,0.0,0,0,0,0,4.61,0,,1,"[""checkout_apple_pay""]",,1,0,,,
225,10723498.0,2024-04-25 04:45:46.676,0,0.0,0.0,10,7,6,6,15.714000000000002,0,0.0,1,"[""checkout_apple_pay""]",5.188131455543508,1,6,0.0,,239707.0
227,10745731.0,2024-05-03 18:26:51.422,0,0.0,0.0,4,0,0,0,1.784,0,0.01,1,"[""checkout_credit_api""]",,1,4,0.0,,15459.0
238,10666874.0,2024-04-10 12:59:50.983,0,0.0,0.0,9,0,0,0,7.236000000000001,0,0.01,1,"[""checkout_apple_pay""]",1.087727907153255,1,1,0.0,,1278.0
242,,2024-04-01 18:33:58.268,0,0.0,0.0,0,0,0,0,0.842,0,,1,"[""checkout_apple_pay""]",,1,0,,,
244,10744546.0,2024-05-02 01:01:52.709,0,0.0,0.0,5,1,1,1,9.32,0,0.0,1,"[""checkout_apple_pay""]",,1,2,0.0,0.0,26957.0
247,10741080.0,2024-05-10 08:52:23.044,0,0.0,0.0,4,2,2,2,9.179,0,0.01,1,"[""checkout_apple_pay""]",1.44794116708288,1,4,0.0,0.0,188029.0
254,10697829.0,2024-04-23 04:51:26.216,0,0.0,0.0,2,0,0,0,0.842,0,0.07,1,"[""checkout_apple_pay""]",,1,2,0.0,,98.0
256,10703369.0,2024-04-19 23:01:18.844,8,1163.92,1163.92,42,7,7,7,2182.84,1,0.0,1,"[null,""paypal_wallet_slave""]",44.27113052873386,1,8,4.5,0.3333333333333333,258791.0
264,10535681.0,2024-04-08 05:32:08.208,0,0.0,0.0,5,0,0,0,11.946000000000002,0,0.0,1,"[""checkout_apple_pay""]",0.5438639535766275,1,4,0.0,,453.0
268,10735581.0,2024-05-02 22:24:58.260,0,0.0,0.0,5,0,0,0,5.452,1,0.01,2,"[null,""checkout_credit_api"",""checkout_apple_pay""]",1.8342271760426332,1,7,0.0,,3718.0
272,10632129.0,2024-04-02 23:09:16.861,0,0.0,0.0,1,0,0,0,6.394,1,0.02,1,"[null,""checkout_apple_pay""]",2.324544113010836,1,1,0.0,0.0,0.0
283,10668280.0,2024-04-10 18:39:54.714,0,0.0,0.0,15,11,10,8,68.166,1,0.0,1,"[""checkout_apple_pay"",null]",8.069477357188742,1,8,0.8,0.03125,360791.0
295,10728282.0,2024-04-26 20:04:25.349,0,0.0,0.0,2,0,0,0,18.74,0,0.03,1,"[""checkout_apple_pay""]",,1,1,0.0,,38.0
298,10734872.0,2024-04-28 20:22:05.368,0,0.0,0.0,7,4,4,4,1.784,0,0.0,1,"[""checkout_apple_pay""]",,1,7,0.0,0.0021551724137931,231913.0
305,10698512.0,2024-04-21 00:42:32.387,0,0.0,0.0,28,1,1,1,2.726,0,0.0,1,"[null,""checkout_apple_pay""]",1.9275730855145288,1,7,7.6,0.0,46755.0
306,10678978.0,2024-04-16 01:53:55.760,0,0.0,0.0,13,7,7,7,54.136,0,0.0,1,"[null,""checkout_apple_pay""]",8.157291415543227,1,6,0.5,0.0125,387906.0
307,10695398.0,2024-04-24 17:26:36.998,0,0.0,0.0,15,1,1,1,4.48,0,0.01,1,"[""paypal_wallet_slave"",null]",2.586529205969524,1,3,0.4,0.0,108492.0
311,10639334.0,2024-04-05 13:06:07.869,0,0.0,0.0,13,2,2,2,9.32,0,0.0,1,"[""checkout_apple_pay""]",,1,7,0.0,0.0,166642.0
312,,2024-04-09 12:39:12.923,0,0.0,0.0,0,0,0,0,50.168,0,,2,"[""checkout_apple_pay"",null,""checkout_credit_api""]",6.022033353800501,1,0,,,
316,10663548.0,2024-04-09 19:52:41.784,0,0.0,0.0,2,1,1,1,18.74,0,,1,"[""checkout_apple_pay""]",,1,2,0.0,0.0,38899.0
317,10685291.0,2024-04-15 01:34:14.892,0,0.0,0.0,27,1,1,1,18.74,0,0.0,1,"[""checkout_apple_pay""]",,1,2,0.0,0.1818181818181818,64824.0
318,10761832.0,2024-05-07 08:47:55.212,0,0.0,0.0,9,6,6,6,23.25,0,0.01,1,"[""checkout_apple_pay""]",2.719319767883137,1,7,0.0,0.0,297504.0
321,10730218.0,2024-04-27 23:40:39.137,0,0.0,0.0,6,0,0,0,1.784,0,0.01,1,"[""checkout_apple_pay""]",,1,3,3.4,0.0,76653.0
322,10764932.0,2024-05-08 16:06:48.041,0,0.0,0.0,37,3,2,2,135.608,1,0.0,2,"[""checkout_credit_api"",""checkout_apple_pay""]",5.289972022610328,1,3,0.0,0.375,75471.0
328,10763594.0,2024-05-08 01:07:16.422,0,0.0,0.0,9,1,1,1,4.51,0,0.0,1,"[""checkout_apple_pay""]",0.6660945878777278,1,1,0.0,,3936.0
335,10718744.0,2024-04-23 22:42:08.291,0,0.0,0.0,6,3,2,2,5.452,0,0.0,1,"[""checkout_apple_pay"",null]",1.7517423707078998,1,4,0.0,,121286.0
337,10607868.0,2024-04-04 05:59:10.845,0,0.0,0.0,11,2,2,2,0.842,1,0.03,1,"[""checkout_apple_pay""]",,1,6,0.0,0.0,111889.0
339,10623178.0,2024-04-05 12:55:11.681,0,0.0,0.0,3,1,1,1,0.842,0,0.0,1,"[""checkout_apple_pay""]",,1,5,0.0,,44584.0
341,10678218.0,2024-04-13 06:42:12.351,0,0.0,0.0,21,1,1,1,9.26,0,0.0,1,"[""paypal_wallet_slave""]",,1,2,0.0,0.5,34510.0
342,10666587.0,2024-04-10 05:40:39.834,0,0.0,0.0,20,1,1,1,13.73,0,0.01,1,"[""checkout_apple_pay""]",0.4710000000000001,1,2,0.0,0.0,29998.0
343,10367683.0,2024-04-02 11:06:04.278,0,0.0,0.0,12,0,0,0,28.06,0,0.0,1,"[null,""checkout_credit_api""]",7.833552621044086,1,7,0.2,,76057.0
345,10643180.0,2024-04-05 08:09:26.125,0,0.0,0.0,14,3,3,3,15.814,0,0.0,1,"[""checkout_apple_pay""]",1.998283763633184,1,3,0.0,0.5,91192.0
350,10652273.0,2024-04-07 06:20:19.970,0,0.0,0.0,7,4,4,3,7.336,0,0.0,1,"[""checkout_apple_pay""]",1.3321891757554558,1,4,0.0,0.0,234209.0
354,10766435.0,2024-05-09 02:29:52.005,0,0.0,0.0,14,4,4,4,35.5317,0,0.0,1,"[""checkout_apple_pay""]",7.202803330821965,1,5,0.1,0.0,184699.0
364,10689044.0,2024-04-16 11:16:00.609,6,140.7,140.7,20,2,2,2,413.48,1,0.0,1,"[""checkout_apple_pay"",null]",22.323372078437902,1,4,0.2,0.1714285714285714,80045.0
367,10623931.0,2024-04-14 16:36:47.101,0,0.0,0.0,23,9,9,9,13.830000000000002,1,0.0,1,"[""checkout_credit_api""]",0.0,1,13,0.0,0.0,551404.0
368,10608056.0,2024-04-03 10:20:19.476,0,0.0,0.0,6,0,0,0,0.842,0,0.02,1,"[""checkout_credit_api""]",,1,4,0.0,0.0,411.0
369,10620152.0,2024-04-03 08:21:19.349,0,0.0,0.0,10,4,4,4,33.512,0,0.0,1,"[""checkout_apple_pay"",null]",6.067931662985886,1,6,0.3,,574519.0
370,10692060.0,2024-04-21 12:36:40.557,0,0.0,0.0,8,2,2,2,0.842,0,0.0,1,"[""checkout_apple_pay""]",,1,7,0.0,,178872.0
371,10631051.0,2024-04-09 03:29:29.568,0,0.0,0.0,8,1,1,1,19.282,0,0.0,1,"[""checkout_apple_pay""]",1.6851008278438415,1,5,0.0,,42545.0
373,10690356.0,2024-04-16 05:31:10.019,0,0.0,0.0,4,2,2,2,23.25,0,0.01,1,"[""checkout_apple_pay""]",2.7193197678831376,1,2,0.0,0.0,77162.0
375,10689590.0,2024-04-16 02:10:45.303,0,0.0,0.0,7,2,2,2,14.672000000000002,0,0.0,1,"[""checkout_apple_pay""]",1.3321891757554556,1,1,0.0,0.0,98103.0
377,10736837.0,2024-05-08 23:23:05.093,0,0.0,0.0,19,2,2,2,20.4653,1,0.0,1,"[""checkout_apple_pay""]",4.246253450199756,1,14,0.0,0.0,150408.0
378,10625081.0,2024-04-01 08:00:55.762,0,0.0,0.0,5,0,0,0,1.784,0,0.0,1,"[""checkout_apple_pay""]",,1,1,0.0,,491.0
389,10662434.0,2024-04-09 15:59:20.833,0,0.0,0.0,3,0,0,0,18.74,0,0.01,1,"[""checkout_credit_api""]",,1,1,0.0,,338.0
390,10740411.0,2024-04-30 11:28:45.231,0,0.0,0.0,10,2,2,1,21.466,0,0.0,1,"[""checkout_apple_pay"",null]",10.124778779476287,1,3,0.0,0.4,233946.0
396,10570189.0,2024-04-11 00:31:45.200,0,0.0,0.0,26,1,1,1,0.842,1,0.01,1,"[null,""checkout_apple_pay""]",0.595383909759073,1,12,0.0,,279204.0
397,10615232.0,2024-04-10 02:38:03.735,0,0.0,0.0,3,1,1,1,1.784,0,0.18,1,"[""checkout_apple_pay""]",,1,5,0.0,0.0,19868.0
399,10753369.0,2024-05-04 18:53:30.485,0,0.0,0.0,16,4,4,4,68.49650000000001,0,0.0,1,"[""checkout_apple_pay"",null]",3.509500041952757,1,6,2.2,0.0,378200.0
400,10625819.0,2024-04-01 14:52:57.757,0,0.0,0.0,14,3,3,3,105.94599999999998,0,0.0,1,"[""checkout_apple_pay"",null]",16.728626502694915,1,6,0.0,0.2307692307692307,541407.0
405,10737964.0,2024-04-29 19:11:14.014,0,0.0,0.0,3,0,0,0,7.336,0,0.01,1,"[""checkout_apple_pay""]",1.3321891757554558,1,1,0.0,1.0,70.0
406,10762888.0,2024-05-08 02:43:34.685,0,0.0,0.0,9,2,2,2,58.8525,0,0.01,1,"[""checkout_apple_pay"",null]",5.788790235307621,1,5,0.0,0.5,185383.0
419,10712459.0,2024-04-23 00:13:08.488,0,0.0,0.0,4,3,3,3,2.726,0,0.0,1,"[""checkout_apple_pay""]",,1,4,0.1,,244969.0
423,10699747.0,2024-04-18 22:41:34.935,0,0.0,0.0,3,0,0,0,4.61,0,0.01,1,"[""checkout_credit_api""]",,1,1,0.0,,349.0
425,10742477.0,2024-05-02 04:08:44.503,0,0.0,0.0,1,3,3,3,4.61,0,0.01,1,"[""checkout_apple_pay""]",,1,2,0.0,,90636.0
426,10504312.0,2024-04-08 20:02:28.410,0,0.0,0.0,5,0,0,0,0.842,0,0.02,1,"[""checkout_apple_pay""]",,1,2,0.0,,40.0
427,10672890.0,2024-04-11 23:31:10.495,0,0.0,0.0,2,3,2,2,4.61,0,0.0,1,"[""checkout_apple_pay""]",,1,3,0.0,,74579.0
434,10732465.0,2024-04-28 00:34:07.817,0,0.0,0.0,10,1,1,1,9.32,0,0.01,1,"[""checkout_apple_pay""]",,1,2,0.0,0.0,36136.0
435,10685052.0,2024-04-27 06:37:24.977,0,0.0,0.0,14,0,0,0,2.726,0,0.0,1,"[""checkout_apple_pay""]",,1,4,0.0,,5803.0
444,10627915.0,2024-04-20 00:36:37.592,0,0.0,0.0,1,0,0,0,2.626,0,0.02,1,"[""checkout_apple_pay""]",0.6660945878777278,1,3,0.0,,0.0
446,10658445.0,2024-04-08 19:51:49.219,0,0.0,0.0,6,5,5,5,37.38,1,0.0,1,"[""checkout_apple_pay""]",5.438639535766273,1,3,0.0,0.0434782608695652,245176.0
455,10634633.0,2024-04-03 13:28:27.253,0,0.0,0.0,14,4,3,3,27.018,0,0.0,1,"[""checkout_credit_api""]",5.188131455543508,1,6,0.0,0.0073529411764705,185729.0
458,10487340.0,2024-04-22 23:16:10.407,0,0.0,0.0,2,0,0,0,0.842,0,0.03,1,"[""checkout_apple_pay""]",,1,2,0.0,,0.0
459,10678757.0,2024-04-13 13:55:46.166,0,0.0,0.0,10,0,0,0,13.93,0,0.0,1,"[""checkout_apple_pay""]",3.3304729393886383,1,1,0.0,,1201.0
465,10737953.0,2024-04-29 22:50:25.628,0,0.0,0.0,8,3,3,3,54.578,0,0.0,1,"[""checkout_apple_pay"",null]",3.906204009611618,1,6,0.4,0.8333333333333334,117767.0
473,10613239.0,2024-04-12 02:36:02.385,0,0.0,0.0,1,0,0,0,21.466,0,0.0,1,"[""checkout_apple_pay""]",11.323607993921373,1,2,0.0,,0.0
476,10748196.0,2024-05-03 06:55:33.014,0,0.0,0.0,30,5,4,4,150.762,0,0.0,1,"[""checkout_credit_api""]",14.21955509149284,1,6,0.0,0.0228070175438596,355496.0
477,10741309.0,2024-04-30 19:25:25.029,0,0.0,0.0,8,2,2,2,21.366,0,0.0,1,"[""checkout_apple_pay""]",3.807047675036392,1,2,0.0,,104067.0
485,10642245.0,2024-04-06 08:03:37.077,0,0.0,0.0,7,2,2,2,14.76258,0,0.0,2,"[""checkout_credit_api"",""checkout_apple_pay""]",3.801609035500626,1,5,0.0,0.1363636363636363,229784.0
486,10697618.0,2024-04-20 04:59:47.743,0,0.0,0.0,20,1,1,1,2.726,0,0.0,1,"[""checkout_apple_pay""]",,1,2,0.0,,55497.0
491,10060154.0,2024-05-03 20:02:18.222,0,0.0,0.0,23,2,2,2,0.842,0,0.11,1,"[""checkout_apple_pay""]",,1,13,0.3,,197387.0
494,10698892.0,2024-04-29 04:20:33.576,0,0.0,0.0,3,2,2,1,8.178,0,0.0,1,"[""checkout_credit_api"",null]",1.0550859491055693,1,5,2.0,0.5,47618.0
496,10685850.0,2024-04-15 03:15:53.484,0,0.0,0.0,9,0,0,0,47.542,0,0.0,1,"[""checkout_apple_pay"",null]",8.527100554506594,1,2,1.7,,5694.0
504,10677250.0,2024-04-13 02:06:16.779,0,0.0,0.0,8,1,1,1,4.61,0,0.0,1,"[""checkout_apple_pay""]",,1,2,0.0,,106466.0
505,10750979.0,2024-05-03 23:50:41.102,0,0.0,0.0,4,0,0,0,18.74,0,0.01,1,"[""checkout_apple_pay""]",,1,1,0.0,0.0,385.0
508,10675830.0,2024-04-12 23:40:36.654,0,0.0,0.0,2,0,0,0,46.69058,0,0.0,1,"[""checkout_credit_api""]",4.711572092635323,1,2,0.0,1.0,7016.0
509,10713220.0,2024-04-22 06:15:25.950,0,0.0,0.0,6,2,2,2,18.74,0,0.0,1,"[null,""checkout_apple_pay""]",7.650572963292792,1,4,0.0,0.0,423072.0
515,10643265.0,2024-04-05 09:25:35.013,0,0.0,0.0,2,0,0,0,9.32,0,0.0,1,"[""checkout_apple_pay""]",,1,1,0.0,,0.0
519,10731986.0,2024-04-27 21:44:50.131,0,0.0,0.0,12,1,1,1,46.6,0,0.0,1,"[""checkout_apple_pay"",null]",5.44105031877381,1,2,0.2,0.0,29494.0
527,10694254.0,2024-04-17 05:02:45.080,0,0.0,0.0,5,8,8,7,113.024,1,0.0,1,"[""checkout_apple_pay"",null]",3.0402253628703995,1,8,0.8,0.032258064516129,413888.0
529,10680174.0,2024-04-13 21:33:46.710,0,0.0,0.0,8,5,5,5,51.31,0,0.0,1,"[null,""checkout_apple_pay""]",4.944251045231056,1,5,10.4,1.0,475086.0
530,10693755.0,2024-04-17 03:03:48.687,0,0.0,0.0,15,5,5,4,439.9400000000001,1,0.0,1,"[null,""checkout_apple_pay""]",5.792485711182124,1,4,1.6,0.3666666666666666,189543.0
531,10658409.0,2024-04-08 19:30:57.999,0,0.0,0.0,13,2,2,2,13.93,0,0.0,1,"[""checkout_apple_pay"",null]",3.892908509927592,1,3,0.9,0.75,260868.0
535,10635450.0,2024-04-09 12:42:43.450,0,0.0,0.0,14,1,1,1,0.842,0,0.03,1,"[""checkout_apple_pay""]",,1,7,0.0,0.0,60829.0
553,10772937.0,2024-05-11 20:33:47.251,0,0.0,0.0,9,2,2,2,29.9328,0,0.0,1,"[""checkout_credit_api""]",2.321871327184174,1,4,0.0,0.1666666666666666,109781.0
556,10745874.0,2024-05-02 03:38:50.237,0,0.0,0.0,6,0,0,0,23.15,0,0.0,1,"[""checkout_apple_pay""]",4.097068342119765,1,1,0.0,,3155.0
559,10653017.0,2024-04-07 20:15:22.236,0,0.0,0.0,45,5,4,4,44.690000000000005,0,0.0,1,"[null,""paypal_wallet_slave""]",4.591224666621526,1,5,0.2,0.0,385388.0
561,10671577.0,2024-04-14 23:57:42.298,0,0.0,0.0,21,3,3,3,2.726,0,0.0,1,"[""checkout_apple_pay""]",,1,3,0.0,0.0,167202.0
563,10674643.0,2024-04-12 08:23:31.501,0,0.0,0.0,2,0,0,0,2.726,0,0.01,1,"[""checkout_apple_pay""]",,1,1,0.0,,455.0
565,10718036.0,2024-04-23 18:56:42.415,0,0.0,0.0,34,8,7,6,89.732,0,0.0,1,"[""checkout_apple_pay""]",9.112185091560484,1,7,0.6,0.0117647058823529,290721.0
573,10555185.0,2024-04-03 18:26:07.779,0,0.0,0.0,2,0,0,0,7.236,0,0.01,1,"[""checkout_apple_pay"",null]",1.6836804922549884,1,4,0.0,,594.0
