,#account_id,first_pay_time,disputes_d30,disputed_d30,disputable_payment,game_types,long_sessions_ps_score_180,long_sessions_ps_score_210,long_sessions_ps_score_240,monetary_consumption_score,user_withdrawed,fluctuating_wagers,payment_methods_score,payment_methods_sequence,payment_impulsiveness_score,nightly_play,days_played_score,increasing_tolerance,losses_of_winning_score,time_comsumption
38744,10693431.0,2024-04-17 01:47:19.820,0,0.0,0.0,4,0,0,0,1.784,0,0.01,1,"[""checkout_apple_pay""]",,1,1,0.0,,178.0
38748,10660415.0,2024-04-11 01:39:29.106,0,0.0,0.0,17,3,3,3,70.15,0,0.0,1,"[""checkout_credit_api""]",4.709999999999999,1,6,0.4,0.5,603126.0
38751,10723468.0,2024-05-04 20:56:37.841,0,0.0,0.0,14,2,2,2,13.7536,0,0.0,1,"[""checkout_apple_pay""]",0.4750636167925303,1,7,0.1,0.0363636363636363,167166.0
38753,10653881.0,2024-04-09 05:17:17.940,0,0.0,0.0,19,1,1,0,4.61,1,0.0,1,"[""checkout_apple_pay""]",,1,6,0.0,,80427.0
38758,10761657.0,2024-05-07 05:52:05.945,0,0.0,0.0,5,2,2,2,2.726,0,0.01,1,"[""checkout_apple_pay""]",,1,4,0.0,0.0,194597.0
38761,10196787.0,2024-05-01 18:43:57.805,0,0.0,0.0,6,2,2,2,3.568,0,0.01,1,"[""checkout_apple_pay""]",1.3321891757554556,1,4,0.0,,83679.0
38766,10682948.0,2024-04-24 00:22:47.212,0,0.0,0.0,5,2,2,2,21.466,0,0.0,1,"[""checkout_apple_pay""]",11.323607993921373,1,3,0.0,0.0,195464.0
38770,10656226.0,2024-04-12 19:28:07.154,0,0.0,0.0,7,3,3,3,9.31058,0,0.0,1,"[""checkout_apple_pay""]",,1,6,0.0,0.5,130410.0
38772,10402709.0,2024-04-04 04:03:30.870,0,0.0,0.0,3,0,0,0,0.842,0,,1,"[""checkout_apple_pay""]",,1,3,0.0,,25.0
38775,10733643.0,2024-04-28 09:01:12.947,0,0.0,0.0,1,0,0,0,1.784,0,0.01,1,"[""checkout_apple_pay""]",,1,2,0.0,,163748.0
38782,10663740.0,2024-04-09 20:26:40.994,0,0.0,0.0,3,0,0,0,4.61,0,0.0,1,"[""checkout_apple_pay""]",,1,1,0.0,,314.0
38789,10631931.0,2024-04-02 22:23:59.250,0,0.0,0.0,25,2,2,2,54.978,1,0.0,1,"[""checkout_apple_pay"",null]",6.195142838201092,1,6,0.0,0.1851851851851851,66751.0
38792,10706669.0,2024-04-21 01:17:00.301,0,0.0,0.0,2,0,0,0,7.050000000000001,0,,1,"[""paypal_wallet_slave""]",1.350573952066306,1,2,,,556.0
38795,10590658.0,2024-04-26 10:21:57.027,0,0.0,0.0,29,5,5,5,0.842,1,0.0,1,"[""checkout_credit_api"",null]",0.595383909759073,1,7,0.0,1.0,289306.0
38797,10708285.0,2024-04-21 03:21:08.008,0,0.0,0.0,9,3,3,3,102.72000000000004,0,0.0,1,"[""checkout_apple_pay""]",14.009995967165729,1,4,0.0,0.8333333333333334,396086.0
38805,10644441.0,2024-04-05 19:24:18.317,0,0.0,0.0,4,3,3,3,126.67,0,0.01,2,"[""checkout_apple_pay"",""checkout_credit_api""]",20.42207335213543,1,3,0.0,0.625,114482.0
38807,10683259.0,2024-04-14 20:54:07.021,0,0.0,0.0,2,0,0,0,4.61,0,0.01,1,"[""checkout_apple_pay""]",,1,1,0.0,,0.0
38812,10578093.0,2024-04-08 15:41:49.566,0,0.0,0.0,3,0,0,0,2.726,0,,1,"[""checkout_apple_pay""]",,1,3,0.0,0.0,361.0
