,Payment Method,Minutes range,Payments,Paying users,Disputing users
242,General,24,65.753,11563,482
243,General,24,67.06599999999999,11184,475
244,General,24,70.24999999999999,10812,470
245,General,24,74.489292,10439,466
246,General,24,75.28,10083,453
247,General,24,79.26999999999998,9694,447
248,General,24,83.76310000000001,9321,433
249,General,24,84.91144000000003,8947,419
250,General,24,88.20045800000003,8575,401
251,General,24,93.69999999999999,8203,390
252,General,24,94.1,7899,385
253,General,24,94.69,7507,374
254,General,24,96.1641,7086,359
255,General,24,100.43392759999999,6711,347
256,General,24,104.40399999999998,6339,329
257,General,24,112.23999999999998,5966,314
258,General,24,114.12,5607,305
259,General,24,122.16,5227,294
260,General,24,131.48,4892,276
261,General,24,141.0,4496,262
262,General,24,146.55549999999977,4101,248
263,General,24,159.74,3730,227
264,General,24,173.56361999999996,3356,217
265,General,24,188.2,3049,204
266,General,24,198.82539487000005,2610,182
267,General,24,222.40940999999893,2237,164
268,General,24,253.83999999999997,1865,151
269,General,24,286.2,1493,133
270,General,24,343.72657199999963,1119,112
271,General,24,440.2535719999999,746,96
272,General,24,625.03,374,45
273,General,24,8255.209999999997,1,1
843,checkout_apple_pay,24,20.024,22964,466
844,checkout_apple_pay,24,20.424,22802,466
845,checkout_apple_pay,24,20.553800000000003,22509,459
846,checkout_apple_pay,24,21.266000000000002,22292,457
847,checkout_apple_pay,24,21.366,22215,457
848,checkout_apple_pay,24,21.465999999999998,21988,454
849,checkout_apple_pay,24,21.6017,21640,450
850,checkout_apple_pay,24,22.308,21358,449
851,checkout_apple_pay,24,23.05,21130,444
852,checkout_apple_pay,24,23.25,20910,441
853,checkout_apple_pay,24,23.2975,20464,436
854,checkout_apple_pay,24,23.349999999999998,20409,436
855,checkout_apple_pay,24,23.35,20076,436
856,checkout_apple_pay,24,23.497500000000002,19777,431
857,checkout_apple_pay,24,24.162130999999995,19519,430
858,checkout_apple_pay,24,25.133999999999997,19290,425
859,checkout_apple_pay,24,25.876,19069,415
860,checkout_apple_pay,24,26.076,18890,411
861,checkout_apple_pay,24,26.918,18649,406
862,checkout_apple_pay,24,27.85058,18384,403
863,checkout_apple_pay,24,27.96,18150,398
864,checkout_apple_pay,24,28.06,17776,395
865,checkout_apple_pay,24,28.237000000000002,17002,388
866,checkout_apple_pay,24,28.701999999999998,16772,385
867,checkout_apple_pay,24,29.744,16544,383
868,checkout_apple_pay,24,30.686,16339,382
869,checkout_apple_pay,24,31.227999999999998,16077,379
870,checkout_apple_pay,24,32.46058,15847,374
871,checkout_apple_pay,24,32.57,15759,373
872,checkout_apple_pay,24,32.67,15578,371
873,checkout_apple_pay,24,32.7765,15163,365
874,checkout_apple_pay,24,33.412,14938,363
875,checkout_apple_pay,24,35.0208528,14697,357
876,checkout_apple_pay,24,36.066079799999955,14467,355
877,checkout_apple_pay,24,37.08,14255,355
878,checkout_apple_pay,24,37.370580000000004,14011,355
879,checkout_apple_pay,24,37.48,13811,353
880,checkout_apple_pay,24,37.716,12876,351
881,checkout_apple_pay,24,37.964,12655,348
882,checkout_apple_pay,24,39.311800000000005,12401,343
883,checkout_apple_pay,24,40.205999999999996,12257,341
884,checkout_apple_pay,24,41.79,11957,341
885,checkout_apple_pay,24,42.089999999999996,11766,338
886,checkout_apple_pay,24,43.2034,11483,332
887,checkout_apple_pay,24,45.54851700000001,11252,329
888,checkout_apple_pay,24,46.6152,11023,323
889,checkout_apple_pay,24,46.8,10905,320
890,checkout_apple_pay,24,47.0,10647,313
891,checkout_apple_pay,24,47.188175120000004,10104,304
892,checkout_apple_pay,24,47.542,9875,298
893,checkout_apple_pay,24,49.525999999999996,9650,291
894,checkout_apple_pay,24,51.11,9428,286
895,checkout_apple_pay,24,51.510000000000005,9187,284
896,checkout_apple_pay,24,53.936,8958,278
897,checkout_apple_pay,24,56.019999999999996,8732,271
898,checkout_apple_pay,24,56.22,8611,270
899,checkout_apple_pay,24,56.32,8321,264
900,checkout_apple_pay,24,58.004,8038,261
901,checkout_apple_pay,24,60.626043599999996,7808,255
902,checkout_apple_pay,24,61.51933500000002,7578,248
903,checkout_apple_pay,24,65.34,7365,243
904,checkout_apple_pay,24,65.74,7204,238
905,checkout_apple_pay,24,66.153,6940,234
906,checkout_apple_pay,24,69.208,6662,231
907,checkout_apple_pay,24,71.89200079999999,6430,228
908,checkout_apple_pay,24,74.96,6229,224
909,checkout_apple_pay,24,76.64987574,5971,216
910,checkout_apple_pay,24,80.0715,5742,212
911,checkout_apple_pay,24,84.38,5516,200
912,checkout_apple_pay,24,85.861501,5282,193
913,checkout_apple_pay,24,90.33787999999997,5052,189
914,checkout_apple_pay,24,94.0,4852,183
915,checkout_apple_pay,24,94.1,4728,182
916,checkout_apple_pay,24,95.31,4366,172
917,checkout_apple_pay,24,99.43383999999999,4134,165
918,checkout_apple_pay,24,103.66900000000001,3912,159
919,checkout_apple_pay,24,111.28819759999999,3675,146
920,checkout_apple_pay,24,113.44800000000001,3463,143
921,checkout_apple_pay,24,121.95999999999998,3224,136
922,checkout_apple_pay,24,131.17403799000002,2986,128
923,checkout_apple_pay,24,140.44399999999985,2756,122
924,checkout_apple_pay,24,145.01419999999996,2526,114
925,checkout_apple_pay,24,155.61200000000014,2297,104
926,checkout_apple_pay,24,168.90728000000004,2067,96
927,checkout_apple_pay,24,187.8,1839,84
928,checkout_apple_pay,24,194.930746,1608,75
929,checkout_apple_pay,24,214.65275999999963,1378,66
930,checkout_apple_pay,24,242.0149249999998,1149,58
931,checkout_apple_pay,24,282.2,922,47
932,checkout_apple_pay,24,323.6034200000002,689,40
933,checkout_apple_pay,24,397.2992399999979,460,34
934,checkout_apple_pay,24,568.0088199999998,230,21
935,checkout_apple_pay,24,8255.209999999997,1,1
2131,checkout_credit_api,24,20.023999999999997,9173,228
2132,checkout_credit_api,24,20.424,9104,227
2133,checkout_credit_api,24,20.5538,8991,226
2134,checkout_credit_api,24,21.266,8914,225
2135,checkout_credit_api,24,21.4017,8807,225
2136,checkout_credit_api,24,21.492221,8716,224
2137,checkout_credit_api,24,22.108,8632,223
2138,checkout_credit_api,24,22.4496,8532,222
2139,checkout_credit_api,24,23.05,8448,219
2140,checkout_credit_api,24,23.25,8359,217
2141,checkout_credit_api,24,23.349999999999998,8203,215
2142,checkout_credit_api,24,23.3975,8073,214
2143,checkout_credit_api,24,23.892,7989,213
2144,checkout_credit_api,24,24.934,7894,208
2145,checkout_credit_api,24,25.233999999999998,7806,206
2146,checkout_credit_api,24,26.075999999999997,7712,206
2147,checkout_credit_api,24,26.918,7627,204
2148,checkout_credit_api,24,27.76,7523,203
2149,checkout_credit_api,24,27.96,7431,203
2150,checkout_credit_api,24,28.041159999999998,7342,203
2151,checkout_credit_api,24,28.06,7316,203
2152,checkout_credit_api,24,28.16,7091,200
2153,checkout_credit_api,24,28.323,6972,199
2154,checkout_credit_api,24,29.177100000000003,6880,199
2155,checkout_credit_api,24,29.944,6794,198
2156,checkout_credit_api,24,30.776579999999996,6697,197
2157,checkout_credit_api,24,31.528,6606,196
2158,checkout_credit_api,24,32.46058,6514,193
2159,checkout_credit_api,24,32.67,6438,193
2160,checkout_credit_api,24,32.769999999999996,6371,190
2161,checkout_credit_api,24,33.527904,6237,187
2162,checkout_credit_api,24,34.69464400000001,6146,185
2163,checkout_credit_api,24,36.238,6057,184
2164,checkout_credit_api,24,37.082,5962,184
2165,checkout_credit_api,24,37.3792464,5871,183
2166,checkout_credit_api,24,37.48,5804,183
2167,checkout_credit_api,24,37.55120000000001,5504,177
2168,checkout_credit_api,24,37.74383999999999,5412,176
2169,checkout_credit_api,24,39.164,5323,175
2170,checkout_credit_api,24,40.206,5232,174
2171,checkout_credit_api,24,41.6805224,5137,171
2172,checkout_credit_api,24,42.089999999999996,5053,168
