,days_since_first_payment,average_total_net_revenue
0,0.0,3.341500000000001
1,1.0,4.1535
2,2.0,1.624
3,3.0,43.845000000000006
4,4.0,72.168
5,5.0,22.39
6,6.0,110.71399999999998
7,7.0,44.31750000000001
8,8.0,230.822315
9,9.0,1759.705844
10,10.0,1931.50315
11,11.0,2670.2773685
12,12.0,4532.111430999999
13,13.0,6129.1609275
14,14.0,10962.9541535
15,15.0,17017.873889500002
16,16.0,24978.647348500002
17,17.0,29769.4122955
18,18.0,31353.53477049999
19,19.0,41350.611364
20,20.0,41589.06374799999
21,21.0,47115.81729749999
22,22.0,58101.20811949999
23,23.0,67815.5100405
24,24.0,72049.11311399999
25,25.0,68389.98292849999
26,26.0,64667.5734485
27,27.0,75120.9180545
28,28.0,71239.84093499999
29,29.0,70232.418792
30,30.0,84734.390473
31,31.0,83675.01697599998
32,32.0,75858.626406
33,33.0,72325.08479999997
34,34.0,74446.935619
35,35.0,80961.86842800002
36,36.0,79650.520652
37,37.0,93415.50824600001
38,38.0,83826.25456300002
39,39.0,71259.15074050002
40,40.0,77037.21465749998
41,41.0,77836.71395149999
42,42.0,80553.0116295
43,43.0,79369.395422
44,44.0,89184.22353900001
45,45.0,100929.49380349996
46,46.0,88149.50562150001
47,47.0,81029.17320199998
48,48.0,79238.9460695
49,49.0,88996.2506655
50,50.0,89565.61844299998
51,51.0,104060.705684
52,52.0,107954.2686055
53,53.0,93752.82763450003
54,54.0,98991.71345849999
55,55.0,90439.98610899999
56,56.0,106566.67780899999
57,57.0,119032.4654435
58,58.0,146196.5577865
59,59.0,134632.12319100002
60,60.0,123324.4586755
