Segment,Matuirity,Condition 1,Condition 2,Condition 3,Condition 4,Condition 5,Disputer rate,Payers,Disputers,Payers_covered,Payers_covered_to_point,Disputes_covered,Disputes_covered_to_point
maturity_day < 14 & payments = 1,2.0,max_payment ≤ 86.5,minutes_to_payment ≤ 6.5,daily_games_first_14d ≤ 276.335,daily_games_first_14d ≤ 1.25,,0.03,100.0,3.0,2.892515846648066e-05,0.028,0.00023,0.441
maturity_day > 14 & paying_matuirity > 14 & payments > 1,26.0,spent_last_14d ≤ 169.995,games_last_7d > 372.5,money_games_last_14d > 689.5,spent_last_7d > 109.995,,0.029850746268656716,134.0,4.0,3.875971234508408e-05,0.028,0.0003,0.441
maturity_day < 14 & payments = 1,2.0,max_payment ≤ 86.5,minutes_to_payment ≤ 6.5,daily_games_first_14d > 276.335,bet_money_to_date ≤ 216.35,max_bet > 1.9,0.029850746268656716,134.0,4.0,3.875971234508408e-05,0.028,0.0003,0.441
maturity_day > 14 & paying_matuirity > 14 & payments > 1,34.0,payments_last_14d ≤ 16.5,games_last_7d ≤ 366.5,max_daily_spent > 119.995,minutes_to_payment > 2936.0,,0.02976190476190476,168.0,5.0,4.859426622368751e-05,0.0281,0.00038,0.442
maturity_day > 14 & paying_matuirity > 14 & payments > 1,18.0,payments_last_7d > 2.5,spent_last_7d > 1208.49,max_daily_spent ≤ 1295.0,bet_money_to_date > 16956.4,,0.02976190476190476,168.0,5.0,4.859426622368751e-05,0.0281,0.00038,0.442
maturity_day > 14 & paying_matuirity < 14 & payments = 1,15.0,spent_last_14d > 9.995,minutes_to_play ≤ 0.5,local_time_12_to_18 > 83.5,"playing_days__0,0,0,0,0,0,1] ≤ 0.5",,0.02976190476190476,168.0,5.0,4.859426622368751e-05,0.0282,0.00038,0.442
maturity_day > 14 & paying_matuirity < 14 & payments > 1,16.0,payments_last_14d ≤ 26.5,spent_last_14d > 71.495,money_games_last_14d ≤ 3443.5,local_time_12_to_18 > 925.0,daily_games_first_1d ≤ 506.86,0.0297029702970297,101.0,3.0,2.9214410051145466e-05,0.0282,0.00023,0.443
maturity_day > 14 & paying_matuirity > 14 & payments > 1,26.0,spent_last_14d > 169.995,max_daily_spent ≤ 387.495,minutes_to_payment ≤ 3138.0,daily_games_first_7d ≤ 1007.735,money_games_to_date ≤ 2388.0,0.0297029702970297,202.0,6.0,5.842882010229093e-05,0.0283,0.00045,0.443
maturity_day > 14 & paying_matuirity < 14 & payments > 1,17.0,payments_to_date ≤ 23.5,games_last_7d > 168.0,win_amount_last_7d > 0.11,max_games_daily_games ≤ 1410.5,payments_last_7d > 10.5,0.0297029702970297,101.0,3.0,2.9214410051145466e-05,0.0283,0.00023,0.443
maturity_day > 14 & paying_matuirity > 14 & payments > 1,20.0,payments_last_7d > 2.5,max_daily_spent > 412.0,max_daily_spent ≤ 1349.995,local_time_after_18 > 3349.5,local_time_before_6 > 8143.5,0.02962962962962963,135.0,4.0,3.904896392974889e-05,0.0283,0.0003,0.444
maturity_day < 14 & payments > 1,3.0,max_daily_spent > 154.995,bet_money_to_date ≤ 16786.149,max_payment ≤ 288.0,max_payment > 93.0,win_amount_to_date > 884.55,0.02952029520295203,542.0,16.0,0.00015677435888832516,0.0285,0.00121,0.445
maturity_day > 14 & paying_matuirity < 14 & payments > 1,37.0,spent_last_14d ≤ 118.5,minutes_to_pay_since_first_game > 48886.0,,,,0.029411764705882353,102.0,3.0,2.9503661635810273e-05,0.0285,0.00023,0.445
maturity_day > 14 & paying_matuirity > 14 & payments > 1,27.0,spent_last_7d ≤ 102.995,games_last_14d > 618.5,max_payment ≤ 86.5,local_time_after_18 > 6571.5,,0.029411764705882353,170.0,5.0,4.917276939301712e-05,0.0286,0.00038,0.446
maturity_day > 14 & paying_matuirity < 14 & payments > 1,21.0,win_amount_last_14d > 601.47,payments_last_14d ≤ 23.5,local_time_before_6 ≤ 1502.5,,,0.029411764705882353,170.0,5.0,4.917276939301712e-05,0.0286,0.00038,0.446
maturity_day > 14 & paying_matuirity > 14 & payments > 1,27.0,spent_last_7d > 102.995,spent_last_7d ≤ 1687.5,minutes_to_payment > 32.5,max_bet > 1.7,daily_games_first_14d ≤ 1009.13,0.02922077922077922,616.0,18.0,0.00017817897615352086,0.0288,0.00136,0.447
maturity_day > 14 & paying_matuirity > 14 & payments = 1,24.0,spent_to_date ≤ 19.5,games_last_7d > 77.5,local_time_6_to_12 ≤ 712.5,local_time_6_to_12 > 305.5,minutes_to_payment ≤ 4359.0,0.029166666666666667,240.0,7.0,6.942038031955358e-05,0.0289,0.00053,0.448
maturity_day > 14 & paying_matuirity > 14 & payments > 1,85.0,spent_last_14d > 49.5,win_amount_to_date ≤ 35245.271,win_amount_to_date ≤ 9031.435,max_daily_spent > 47.5,minutes_to_pay_since_first_game > 27.5,0.02912621359223301,309.0,9.0,8.937873966142523e-05,0.029,0.00068,0.448
maturity_day < 14 & payments > 1,7.0,spent_to_date ≤ 267.995,payments_last_7d > 3.5,payments_last_14d > 21.5,minutes_to_pay_since_first_game > 7.5,local_time_before_6 > 1739.0,0.02912621359223301,103.0,3.0,2.979291322047508e-05,0.029,0.00023,0.449
maturity_day > 14 & paying_matuirity > 14 & payments > 1,19.0,payments_last_7d > 2.5,spent_last_14d ≤ 2310.0,daily_games_first_14d > 995.825,local_time_6_to_12 ≤ 13678.5,max_bet ≤ 19.25,0.02911392405063291,790.0,23.0,0.0002285087518851972,0.0292,0.00174,0.45
maturity_day < 14 & payments > 1,10.0,spent_last_7d ≤ 433.49,games_last_7d > 1033.5,payments_last_14d ≤ 26.5,max_games_daily_games > 634.5,max_daily_spent > 169.995,0.029023746701846966,379.0,11.0,0.0001096263505879617,0.0293,0.00083,0.451
maturity_day > 14 & paying_matuirity > 14 & payments > 1,93.0,payments_last_14d > 1.5,win_amount_last_7d ≤ 2336.885,local_time_after_18 ≤ 611.5,,,0.028985507246376812,138.0,4.0,3.991671868374331e-05,0.0294,0.0003,0.452
maturity_day > 14 & paying_matuirity > 14 & payments > 1,34.0,payments_last_14d > 16.5,max_daily_spent ≤ 551.0,minutes_to_payment > 3153.0,spent_last_7d > 101.5,max_daily_spent ≤ 106.0,0.028846153846153848,104.0,3.0,3.0082164805139887e-05,0.0294,0.00023,0.452
maturity_day > 14 & paying_matuirity > 14 & payments > 1,81.0,spent_to_date > 390.995,win_amount_to_date ≤ 34896.475,daily_games_first_7d ≤ 885.625,max_daily_spent ≤ 562.495,max_games_daily_games ≤ 1024.0,0.02877697841726619,139.0,4.0,4.020597026840812e-05,0.0294,0.0003,0.452
maturity_day > 14 & paying_matuirity > 14 & payments = 1,23.0,max_daily_spent ≤ 19.5,games_last_7d > 77.5,local_time_6_to_12 ≤ 712.5,local_time_6_to_12 > 305.5,minutes_to_pay_since_first_game ≤ 4359.0,0.02857142857142857,245.0,7.0,7.086663824287761e-05,0.0295,0.00053,0.453
maturity_day > 14 & paying_matuirity > 14 & payments > 1,85.0,spent_last_14d > 49.5,win_amount_to_date > 35245.271,payments_to_date ≤ 362.0,,,0.02857142857142857,105.0,3.0,3.037141638980469e-05,0.0295,0.00023,0.453
maturity_day > 14 & paying_matuirity > 14 & payments > 1,65.0,spent_last_7d > 45.5,payments_last_7d ≤ 49.5,local_time_12_to_18 > 3660.0,money_games_to_date > 25056.5,minutes_to_pay_since_first_game > 3724.0,0.02857142857142857,105.0,3.0,3.037141638980469e-05,0.0296,0.00023,0.453
maturity_day > 14 & paying_matuirity > 14 & payments > 1,76.0,max_daily_spent > 399.995,max_games_daily_games > 4784.0,payments_last_14d ≤ 63.5,,,0.028409090909090908,176.0,5.0,5.0908278901005956e-05,0.0296,0.00038,0.453
maturity_day < 14 & payments > 1,9.0,spent_to_date ≤ 466.995,spent_last_7d ≤ 30.995,local_time_12_to_18 ≤ 65.5,daily_games_first_14d > 255.835,daily_games_first_1d ≤ 256.25,0.02830188679245283,212.0,6.0,6.1321335948939e-05,0.0297,0.00045,0.454
maturity_day > 14 & paying_matuirity > 14 & payments > 1,77.0,spent_to_date ≤ 1056.995,payments_to_date > 12.5,games_to_date ≤ 1922.0,,,0.02830188679245283,106.0,3.0,3.06606679744695e-05,0.0297,0.00023,0.454
maturity_day > 14 & paying_matuirity > 14 & payments = 1,30.0,max_daily_spent > 95.0,,,,,0.02830188679245283,106.0,3.0,3.06606679744695e-05,0.0297,0.00023,0.454
maturity_day > 14 & paying_matuirity > 14 & payments > 1,67.0,spent_to_date > 775.985,payments_last_7d > 51.5,local_time_12_to_18 ≤ 21405.0,,,0.02830188679245283,106.0,3.0,3.06606679744695e-05,0.0298,0.00023,0.455
maturity_day > 14 & paying_matuirity > 14 & payments > 1,57.0,spent_to_date > 334.995,spent_to_date ≤ 1849.0,daily_games_first_1d ≤ 841.525,minutes_to_payment > 108.0,max_payment > 29.995,0.028282828282828285,495.0,14.0,0.00014317953440907925,0.0299,0.00106,0.456
maturity_day > 14 & paying_matuirity > 14 & payments > 1,56.0,spent_to_date ≤ 1243.495,payments_to_date > 22.5,local_time_before_6 ≤ 6026.0,max_daily_spent > 73.995,spent_to_date ≤ 655.5,0.028056112224448898,499.0,14.0,0.00014433654074773848,0.0301,0.00106,0.457
maturity_day > 14 & paying_matuirity > 14 & payments > 1,48.0,spent_to_date ≤ 334.995,daily_games_first_14d > 111.605,minutes_to_payment > 2.5,minutes_to_pay_since_first_game > 43629.5,,0.028037383177570093,107.0,3.0,3.094991955913431e-05,0.0301,0.00023,0.457
maturity_day > 14 & paying_matuirity > 14 & payments > 1,35.0,payments_last_14d > 14.5,payments_last_14d ≤ 103.5,max_daily_spent > 603.5,money_games_last_7d ≤ 4756.0,,0.027932960893854747,179.0,5.0,5.177603365500038e-05,0.0301,0.00038,0.457
maturity_day > 14 & paying_matuirity > 14 & payments > 1,18.0,payments_last_7d ≤ 2.5,spent_last_14d ≤ 816.495,spent_to_date > 13.995,max_daily_spent ≤ 9.495,max_bet > 0.725,0.027777777777777776,216.0,6.0,6.247834228759823e-05,0.0302,0.00045,0.458
maturity_day > 14 & paying_matuirity > 14 & payments > 1,37.0,payments_last_14d > 16.5,spent_last_14d ≤ 3341.0,payments_last_7d > 36.5,spent_last_7d ≤ 1162.49,money_games_last_7d > 7979.5,0.027777777777777776,144.0,4.0,4.1652228191732146e-05,0.0302,0.0003,0.458
maturity_day < 14 & payments > 1,5.0,spent_to_date ≤ 217.995,payments_last_7d > 2.5,payments_to_date > 14.5,minutes_to_pay_since_first_game > 7.5,daily_games_first_14d ≤ 535.43,0.027777777777777776,108.0,3.0,3.1239171143799114e-05,0.0303,0.00023,0.458
maturity_day > 14 & paying_matuirity > 14 & payments > 1,59.0,spent_to_date ≤ 433.995,payments_last_14d > 2.5,local_time_after_18 > 490.5,money_games_last_7d > 1588.5,bet_money_to_date ≤ 2393.25,0.027777777777777776,108.0,3.0,3.1239171143799114e-05,0.0303,0.00023,0.459
maturity_day > 14 & paying_matuirity > 14 & payments > 1,56.0,spent_to_date > 1243.495,daily_games_first_14d > 453.685,minutes_to_pay_since_first_game ≤ 8552.5,local_time_after_18 ≤ 20703.0,local_time_before_6 ≤ 12231.0,0.027692307692307693,650.0,18.0,0.0001880135300321243,0.0305,0.00136,0.46
maturity_day < 14 & payments = 1,2.0,max_payment ≤ 86.5,minutes_to_payment > 6.5,games_last_14d ≤ 1443.5,local_time_6_to_12 > 235.5,max_games_daily_games ≤ 329.5,0.027649769585253458,434.0,12.0,0.00012553518774452606,0.0306,0.00091,0.461
maturity_day > 14 & paying_matuirity > 14 & payments > 1,37.0,payments_last_14d > 16.5,spent_last_14d ≤ 3341.0,payments_last_7d ≤ 36.5,minutes_to_play ≤ 4.5,minutes_to_pay_since_first_game > 2762.5,0.02763819095477387,398.0,11.0,0.00011512213069659302,0.0307,0.00083,0.462
maturity_day > 14 & paying_matuirity > 14 & payments = 1,31.0,daily_games_first_14d ≤ 10.53,minutes_to_pay_since_first_game > 2.5,minutes_to_payment ≤ 7.5,max_games_daily_games > 3.5,,0.027522935779816515,109.0,3.0,3.1528422728463915e-05,0.0308,0.00023,0.462
maturity_day > 14 & paying_matuirity > 14 & payments > 1,27.0,spent_last_7d > 102.995,spent_last_7d > 1687.5,minutes_to_play > 0.5,,,0.027522935779816515,109.0,3.0,3.1528422728463915e-05,0.0308,0.00023,0.462
maturity_day > 14 & paying_matuirity < 14 & payments = 1,29.0,max_payment > 2.995,local_time_before_6 ≤ 60.0,local_time_before_6 > 1.5,,,0.027522935779816515,109.0,3.0,3.1528422728463915e-05,0.0308,0.00023,0.462
maturity_day > 14 & paying_matuirity > 14 & payments > 1,30.0,payments_last_14d > 7.5,payments_last_14d ≤ 101.5,max_daily_spent ≤ 423.5,spent_last_7d > 125.995,games_last_7d ≤ 13679.0,0.027408637873754152,1204.0,33.0,0.0003482589079364271,0.0312,0.00249,0.465
maturity_day > 14 & paying_matuirity > 14 & payments > 1,84.0,payments_to_date > 41.5,win_amount_to_date ≤ 34655.42,daily_games_first_7d ≤ 873.99,games_to_date ≤ 35876.0,spent_last_7d > 156.5,0.02727272727272727,110.0,3.0,3.181767431312872e-05,0.0312,0.00023,0.465
maturity_day > 14 & paying_matuirity > 14 & payments > 1,76.0,max_daily_spent > 399.995,max_games_daily_games ≤ 4784.0,daily_games_first_1d ≤ 516.73,,,0.02727272727272727,110.0,3.0,3.181767431312872e-05,0.0312,0.00023,0.465
maturity_day < 14 & payments > 1,4.0,spent_last_7d > 288.995,bet_money_to_date ≤ 23771.0,bet_money_to_date > 1400.35,daily_games_first_14d ≤ 883.02,daily_games_first_14d ≤ 693.75,0.02711864406779661,295.0,8.0,8.532921747611795e-05,0.0313,0.0006,0.466
maturity_day > 14 & paying_matuirity > 14 & payments > 1,33.0,payments_last_14d > 18.5,max_daily_spent > 744.985,minutes_to_payment > 3.5,local_time_after_18 > 8202.5,,0.02702702702702703,111.0,3.0,3.210692589779353e-05,0.0314,0.00023,0.466
maturity_day < 14 & payments > 1,10.0,spent_last_7d ≤ 433.49,games_last_7d ≤ 1033.5,max_daily_spent ≤ 17.985,money_games_last_7d > 0.5,"days_bet__0,0,1,0,1,0,0] > 0.5",0.02702702702702703,111.0,3.0,3.210692589779353e-05,0.0314,0.00023,0.466
maturity_day > 14 & paying_matuirity > 14 & payments > 1,64.0,spent_last_7d > 46.5,payments_last_7d ≤ 48.5,win_amount_last_7d > 2003.115,local_time_6_to_12 > 14975.0,local_time_before_6 > 25868.5,0.02702702702702703,111.0,3.0,3.210692589779353e-05,0.0314,0.00023,0.467
maturity_day > 14 & paying_matuirity > 14 & payments = 1,27.0,minutes_to_payment ≤ 4334.5,daily_games_first_14d > 10.585,bet_money_to_date > 50.95,daily_games_first_1d ≤ 58.165,bet_money_to_date ≤ 80.8,0.02702702702702703,148.0,4.0,4.2809234530391374e-05,0.0315,0.0003,0.467
maturity_day > 14 & paying_matuirity > 14 & payments = 1,22.0,max_payment > 95.0,,,,,0.026785714285714284,112.0,3.0,3.2396177482458336e-05,0.0315,0.00023,0.467
maturity_day < 14 & payments > 1,1.0,daily_games_first_14d ≤ 631.415,spent_last_14d > 10.495,local_time_6_to_12 ≤ 404.5,minutes_to_pay_since_first_game ≤ -0.5,max_payment > 19.995,0.02666666666666667,375.0,10.0,0.00010846934424930247,0.0316,0.00076,0.468
maturity_day > 14 & paying_matuirity > 14 & payments > 1,42.0,spent_last_14d ≤ 186.5,games_last_14d > 225.5,minutes_to_play > 963.0,,,0.02666666666666667,150.0,4.0,4.338773769972099e-05,0.0317,0.0003,0.468
maturity_day < 14 & payments = 1,6.0,spent_to_date ≤ 95.0,minutes_to_pay_since_first_game > 283.5,daily_games_first_14d ≤ 5.125,,,0.02666666666666667,150.0,4.0,4.338773769972099e-05,0.0317,0.0003,0.468
maturity_day > 14 & paying_matuirity > 14 & payments > 1,65.0,spent_last_7d > 45.5,payments_last_7d ≤ 49.5,local_time_12_to_18 > 3660.0,money_games_to_date ≤ 25056.5,spent_to_date ≤ 2650.0,0.026634382566585957,413.0,11.0,0.00011946090446656512,0.0318,0.00083,0.469
maturity_day < 14 & payments > 1,3.0,max_daily_spent ≤ 154.995,daily_games_first_14d ≤ 630.645,max_daily_spent ≤ 41.995,minutes_to_payment > 1885.5,daily_games_first_7d > 175.5,0.026584867075664622,489.0,13.0,0.00014144402490109042,0.032,0.00098,0.47
maturity_day > 14 & paying_matuirity > 14 & payments > 1,16.0,max_daily_spent > 284.995,spent_last_7d ≤ 1401.495,spent_last_7d > 434.495,minutes_to_payment ≤ 26.5,spent_last_7d > 798.5,0.026490066225165563,151.0,4.0,4.3676989284385795e-05,0.032,0.0003,0.471
maturity_day > 14 & paying_matuirity < 14 & payments > 1,30.0,payments_last_7d > 7.5,,,,,0.026143790849673203,153.0,4.0,4.425549245371541e-05,0.032,0.0003,0.471
maturity_day > 14 & paying_matuirity > 14 & payments > 1,61.0,win_amount_last_14d ≤ 175.25,max_daily_spent > 334.995,minutes_to_pay_since_first_game ≤ 2.5,,,0.02608695652173913,115.0,3.0,3.326393223645276e-05,0.0321,0.00023,0.471
maturity_day > 14 & paying_matuirity > 14 & payments > 1,63.0,spent_last_14d ≤ 36.995,spent_to_date > 1055.995,win_amount_last_14d ≤ 0.18,local_time_after_18 > 2930.0,,0.02608695652173913,115.0,3.0,3.326393223645276e-05,0.0321,0.00023,0.471
maturity_day < 14 & payments > 1,5.0,spent_to_date > 217.995,spent_last_14d ≤ 2475.0,daily_games_first_14d > 774.845,daily_games_first_1d > 978.7,daily_games_first_14d ≤ 1961.79,0.025991792065663474,731.0,19.0,0.00021144290838997362,0.0323,0.00144,0.473
maturity_day > 14 & paying_matuirity > 14 & payments = 1,46.0,max_payment > 9.995,local_time_before_6 ≤ 54.5,local_time_before_6 > 37.5,,,0.025974025974025976,154.0,4.0,4.4544744038380216e-05,0.0324,0.0003,0.473
maturity_day < 14 & payments > 1,3.0,max_daily_spent ≤ 154.995,daily_games_first_14d ≤ 630.645,max_daily_spent > 41.995,max_daily_spent ≤ 62.495,max_games_daily_games ≤ 844.5,0.025766871165644172,815.0,21.0,0.00023574004150181738,0.0326,0.00159,0.475
maturity_day > 14 & paying_matuirity > 14 & payments > 1,52.0,max_daily_spent > 85.495,win_amount_to_date > 13119.225,max_games_daily_games > 2647.0,max_daily_spent > 189.0,local_time_before_6 > 9977.0,0.02564102564102564,546.0,14.0,0.0001579313652269844,0.0328,0.00106,0.476
maturity_day > 14 & paying_matuirity < 14 & payments > 1,49.0,money_games_last_7d > 945.5,,,,,0.02564102564102564,117.0,3.0,3.384243540578237e-05,0.0328,0.00023,0.476
maturity_day > 14 & paying_matuirity > 14 & payments > 1,24.0,payments_last_7d > 3.5,max_daily_spent ≤ 412.5,payments_last_7d ≤ 47.5,local_time_6_to_12 > 598.5,daily_games_first_14d > 1067.425,0.025525525525525526,666.0,17.0,0.0001926415553867612,0.033,0.00128,0.477
maturity_day > 14 & paying_matuirity > 14 & payments > 1,33.0,payments_last_14d > 18.5,max_daily_spent ≤ 744.985,payments_last_14d ≤ 104.5,minutes_to_payment ≤ 3648.0,daily_games_first_14d > 1021.88,0.025490196078431372,510.0,13.0,0.00014751830817905136,0.0331,0.00098,0.478
maturity_day > 14 & paying_matuirity > 14 & payments = 1,45.0,max_daily_spent > 9.995,local_time_before_6 ≤ 54.5,local_time_before_6 > 37.5,,,0.025477707006369428,157.0,4.0,4.541249879237464e-05,0.0332,0.0003,0.479
maturity_day > 14 & paying_matuirity > 14 & payments > 1,84.0,payments_to_date ≤ 41.5,win_amount_last_14d > 66.415,games_last_14d ≤ 972.0,,,0.02531645569620253,158.0,4.0,4.5701750377039444e-05,0.0332,0.0003,0.479
maturity_day > 14 & paying_matuirity > 14 & payments = 1,77.0,minutes_to_pay_since_first_game > 39.5,money_games_to_date ≤ 46.5,minutes_to_payment ≤ 10742.0,max_daily_spent > 9.995,,0.025157232704402517,159.0,4.0,4.5991001961704244e-05,0.0333,0.0003,0.479
maturity_day > 14 & paying_matuirity > 14 & payments = 1,44.0,max_daily_spent > 9.995,local_time_before_6 ≤ 54.5,local_time_before_6 > 37.5,,,0.025157232704402517,159.0,4.0,4.5991001961704244e-05,0.0333,0.0003,0.479
maturity_day > 14 & paying_matuirity > 14 & payments > 1,16.0,max_daily_spent ≤ 284.995,payments_last_7d > 1.5,payments_to_date ≤ 39.5,money_games_to_date ≤ 4369.5,games_last_7d > 2424.0,0.02508361204013378,598.0,15.0,0.00017297244762955435,0.0335,0.00113,0.481
maturity_day < 14 & payments > 1,13.0,payments_last_7d > 5.5,spent_last_7d > 1157.0,max_daily_spent ≤ 1049.985,payments_to_date ≤ 74.5,,0.025,160.0,4.0,4.628025354636905e-05,0.0335,0.0003,0.481
maturity_day < 14 & payments = 1,10.0,max_daily_spent ≤ 95.0,spent_to_date > 9.995,bet_money_to_date ≤ 110.4,local_time_6_to_12 ≤ 6.5,minutes_to_pay_since_first_game > 1246.5,0.02491103202846975,281.0,7.0,8.127969529081065e-05,0.0336,0.00053,0.481
maturity_day > 14 & paying_matuirity > 14 & payments > 1,42.0,spent_last_14d ≤ 186.5,games_last_14d > 225.5,minutes_to_play ≤ 963.0,"playing_days__0,0,0,0,1,0,1] > 0.5",,0.024844720496894408,161.0,4.0,4.656950513103386e-05,0.0337,0.0003,0.482
maturity_day < 14 & payments > 1,14.0,payments_last_7d > 5.5,spent_last_7d > 1363.5,max_daily_spent ≤ 1049.985,payments_last_14d ≤ 79.5,,0.024793388429752067,121.0,3.0,3.49994417444416e-05,0.0337,0.00023,0.482
maturity_day > 14 & paying_matuirity > 14 & payments > 1,43.0,win_amount_last_14d ≤ 268.68,games_last_14d > 202.5,"playing_days__0,0,0,1,1,1,1] ≤ 0.5",minutes_to_play > 1041.0,,0.024793388429752067,121.0,3.0,3.49994417444416e-05,0.0337,0.00023,0.482
maturity_day > 14 & paying_matuirity > 14 & payments > 1,98.0,local_time_before_6 > 11476.5,local_time_after_18 ≤ 16108.5,,,,0.024691358024691357,162.0,4.0,4.6858756715698665e-05,0.0338,0.0003,0.482
maturity_day > 14 & paying_matuirity > 14 & payments > 1,38.0,payments_last_14d > 13.5,max_daily_spent ≤ 303.0,daily_games_first_14d > 1048.79,local_time_6_to_12 ≤ 16286.5,money_games_last_7d > 6045.0,0.02459016393442623,122.0,3.0,3.5288693329106406e-05,0.0338,0.00023,0.483
maturity_day > 14 & paying_matuirity > 14 & payments > 1,25.0,spent_last_7d > 69.995,max_daily_spent > 399.995,payments_last_7d > 8.5,bet_money_to_date > 12273.25,win_amount_last_7d ≤ 6217.715,0.024390243902439025,246.0,6.0,7.115588982754243e-05,0.0339,0.00045,0.483
maturity_day > 14 & paying_matuirity > 14 & payments > 1,35.0,payments_last_14d ≤ 14.5,money_games_to_date ≤ 679.5,payments_to_date > 10.5,minutes_to_pay_since_first_game ≤ 9.5,,0.024390243902439025,123.0,3.0,3.557794491377121e-05,0.0339,0.00023,0.483
maturity_day > 14 & paying_matuirity > 14 & payments > 1,75.0,max_daily_spent > 324.995,local_time_6_to_12 ≤ 48460.0,money_games_to_date ≤ 52430.5,max_games_daily_games ≤ 4781.5,daily_games_first_1d ≤ 691.5,0.024390243902439025,246.0,6.0,7.115588982754243e-05,0.034,0.00045,0.484
maturity_day > 14 & paying_matuirity < 14 & payments > 1,48.0,money_games_last_7d > 938.0,,,,,0.024390243902439025,123.0,3.0,3.557794491377121e-05,0.034,0.00023,0.484
maturity_day < 14 & payments = 1,9.0,max_payment ≤ 95.0,spent_last_7d > 9.995,local_time_6_to_12 ≤ 183.0,minutes_to_play ≤ 0.5,bet_money_to_date ≤ 79.4,0.02425876010781671,371.0,9.0,0.00010731233791064324,0.0341,0.00068,0.485
maturity_day > 14 & paying_matuirity > 14 & payments = 1,43.0,max_payment > 9.995,local_time_before_6 ≤ 54.5,local_time_before_6 > 37.5,,,0.024242424242424242,165.0,4.0,4.7726511469693086e-05,0.0342,0.0003,0.485
maturity_day > 14 & paying_matuirity > 14 & payments = 1,76.0,minutes_to_pay_since_first_game > 39.5,money_games_to_date ≤ 46.5,minutes_to_payment ≤ 10733.5,max_daily_spent > 9.995,,0.024242424242424242,165.0,4.0,4.7726511469693086e-05,0.0342,0.0003,0.485
maturity_day > 14 & paying_matuirity < 14 & payments > 1,53.0,minutes_to_play > 0.5,,,,,0.024193548387096774,124.0,3.0,3.586719649843602e-05,0.0343,0.00023,0.486
maturity_day > 14 & paying_matuirity > 14 & payments > 1,15.0,spent_last_7d ≤ 1155.0,payments_last_7d ≤ 5.5,max_daily_spent > 153.5,money_games_to_date > 434.5,local_time_before_6 > 2113.5,0.024193548387096774,248.0,6.0,7.173439299687204e-05,0.0343,0.00045,0.486
maturity_day > 14 & paying_matuirity > 14 & payments > 1,76.0,max_daily_spent ≤ 399.995,spent_last_14d > 9.995,win_amount_to_date > 978.285,max_games_daily_games > 1024.0,win_amount_last_14d ≤ 45.09,0.024193548387096774,124.0,3.0,3.586719649843602e-05,0.0344,0.00023,0.486
maturity_day > 14 & paying_matuirity > 14 & payments > 1,39.0,payments_last_14d > 10.5,max_daily_spent ≤ 730.995,payments_last_7d > 51.5,money_games_last_14d > 11380.5,,0.024,125.0,3.0,3.6156448083100827e-05,0.0344,0.00023,0.486
maturity_day > 14 & paying_matuirity > 14 & payments = 1,32.0,spent_to_date ≤ 95.0,win_amount_last_14d > 27.875,minutes_to_payment ≤ 73.5,,,0.024,125.0,3.0,3.6156448083100827e-05,0.0344,0.00023,0.487
maturity_day > 14 & paying_matuirity > 14 & payments > 1,58.0,win_amount_last_14d ≤ 172.405,max_daily_spent > 85.495,payments_to_date > 12.5,max_games_daily_games > 1650.0,daily_games_first_7d > 1777.97,0.024,125.0,3.0,3.6156448083100827e-05,0.0345,0.00023,0.487
maturity_day > 14 & paying_matuirity > 14 & payments > 1,97.0,local_time_before_6 > 11482.0,max_bet ≤ 17.0,,,,0.023952095808383235,167.0,4.0,4.83050146390227e-05,0.0345,0.0003,0.487
maturity_day > 14 & paying_matuirity > 14 & payments > 1,43.0,win_amount_last_14d ≤ 268.68,games_last_14d > 202.5,"playing_days__0,0,0,1,1,1,1] > 0.5",,,0.023952095808383235,167.0,4.0,4.83050146390227e-05,0.0346,0.0003,0.487
maturity_day > 14 & paying_matuirity > 14 & payments > 1,17.0,payments_to_date ≤ 40.5,payments_last_7d ≤ 2.5,spent_to_date > 31.995,games_to_date > 98.5,"payer__1,0,0,1,1,1,1] > 0.5",0.023923444976076555,209.0,5.0,6.045358119494457e-05,0.0346,0.00038,0.488
maturity_day > 14 & paying_matuirity > 14 & payments > 1,39.0,payments_last_14d > 10.5,max_daily_spent > 730.995,win_amount_last_7d > 12383.76,,,0.023809523809523808,126.0,3.0,3.644569966776563e-05,0.0347,0.00023,0.488
maturity_day < 14 & payments > 1,3.0,max_daily_spent ≤ 154.995,daily_games_first_14d > 630.645,daily_games_first_1d ≤ 633.5,bet_money_to_date > 54.6,minutes_to_pay_since_first_game ≤ 6.5,0.023809523809523808,252.0,6.0,7.289139933553125e-05,0.0348,0.00045,0.489
maturity_day > 14 & paying_matuirity > 14 & payments = 1,75.0,minutes_to_pay_since_first_game > 39.5,money_games_to_date ≤ 46.5,minutes_to_payment ≤ 10733.5,max_payment > 9.995,,0.023809523809523808,168.0,4.0,4.859426622368751e-05,0.0348,0.0003,0.489
maturity_day > 14 & paying_matuirity > 14 & payments = 1,31.0,daily_games_first_14d > 10.53,win_amount_to_date > 17.285,daily_games_first_1d > 28.065,minutes_to_payment ≤ 73.5,win_amount_last_14d > 27.795,0.0234375,128.0,3.0,3.702420283709524e-05,0.0348,0.00023,0.489
