Segment,Matuirity,Condition 1,Condition 2,Condition 3,Condition 4,Condition 5,Disputer rate,Payers,Disputers,Payers_covered,Payers_covered_to_point,Disputes_covered,Disputes_covered_to_point
maturity_day > 14 & paying_matuirity > 14 & payments > 1,16.0,max_daily_spent > 284.995,spent_last_7d ≤ 1401.495,spent_last_7d > 434.495,minutes_to_payment ≤ 26.5,spent_last_7d ≤ 798.5,0.08888888888888889,135.0,12.0,3.904896392974889e-05,0.0046,0.00091,0.149
maturity_day < 14 & payments > 1,1.0,daily_games_first_14d ≤ 631.415,spent_last_14d > 10.495,local_time_6_to_12 > 404.5,local_time_6_to_12 ≤ 442.5,minutes_to_payment > 8.5,0.08888888888888889,90.0,8.0,2.6032642619832592e-05,0.0046,0.0006,0.15
maturity_day < 14 & payments > 1,6.0,max_daily_spent ≤ 153.995,payments_to_date > 14.5,minutes_to_payment > 4.5,daily_games_first_1d > 453.5,money_games_to_date ≤ 1882.5,0.08888888888888889,90.0,8.0,2.6032642619832592e-05,0.0047,0.0006,0.15
maturity_day > 14 & paying_matuirity > 14 & payments > 1,27.0,spent_last_7d > 102.995,spent_last_7d > 1687.5,minutes_to_play ≤ 0.5,"days_gt50_bet__1,0,1,1,1,1,1] > 0.5",,0.08823529411764706,102.0,9.0,2.9503661635810273e-05,0.0047,0.00068,0.151
maturity_day > 14 & paying_matuirity > 14 & payments > 1,43.0,win_amount_last_14d > 268.68,max_daily_spent > 719.995,win_amount_last_7d > 2676.47,bet_money_to_date > 54854.35,money_games_last_14d ≤ 19682.0,0.088,125.0,11.0,3.6156448083100827e-05,0.0047,0.00083,0.152
maturity_day > 14 & paying_matuirity > 14 & payments > 1,24.0,payments_last_7d > 3.5,max_daily_spent > 412.5,max_daily_spent ≤ 723.5,max_daily_spent ≤ 500.495,,0.088,125.0,11.0,3.6156448083100827e-05,0.0048,0.00083,0.153
maturity_day > 14 & paying_matuirity > 14 & payments > 1,21.0,spent_last_7d ≤ 129.485,payments_last_14d > 2.5,payments_last_14d > 28.5,win_amount_last_7d ≤ 120.415,,0.08737864077669903,103.0,9.0,2.979291322047508e-05,0.0048,0.00068,0.153
maturity_day > 14 & paying_matuirity > 14 & payments > 1,78.0,max_daily_spent > 399.995,max_games_daily_games > 4784.0,max_games_daily_games ≤ 6671.5,,,0.08737864077669903,103.0,9.0,2.979291322047508e-05,0.0048,0.00068,0.154
maturity_day > 14 & paying_matuirity > 14 & payments > 1,17.0,payments_to_date > 40.5,bet_money_to_date > 43366.1,"days_gt50_bet__1,0,1,1,1,1,1] > 0.5",,,0.08695652173913043,92.0,8.0,2.6611145789162206e-05,0.0049,0.0006,0.155
maturity_day < 14 & payments = 1,1.0,spent_last_7d ≤ 70.0,daily_games_first_7d > 1561.69,minutes_to_payment ≤ 6.5,,,0.08695652173913043,92.0,8.0,2.6611145789162206e-05,0.0049,0.0006,0.155
